LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,VARIANCE_NEAR_DIST,MEDIAN_NEAR_DIST
E01004946,0.107094253,0.030694423,0.19769825,0.004748905,0.099992169
E01004947,0.053019979,0.017068985,0.100358959,0.001318988,0.047325985
E01004948,0.213896955,0.091039386,0.484023915,0.034468496,0.14026226
E01004949,0.20188535,0.02611636,0.408450273,0.029243444,0.186487384
E01004950,0.196094892,0.074961155,0.279144378,0.00880653,0.215137017
E01004951,0.12166011,0.066053118,0.202922017,0.003828225,0.108832653
E01004952,0.08483637,0.032232477,0.129112731,0.001821754,0.089000136
E01004953,0.162746024,0.111720052,0.236334888,0.003297136,0.151464578
E01004954,0.208017476,0.113808341,0.407203405,0.018610807,0.155529079
E01004955,0.090528629,0.042097313,0.219475408,0.007416708,0.050270898
E01004956,0.208130504,0.166909922,0.248149972,0.001462246,0.208731061
E01004957,0.090436443,0.065085711,0.131692,0.000830229,0.08248403
E01004958,0.055921945,0.015158008,0.119687623,0.002177969,0.044421074
E01004959,0.047396043,0.005190171,0.132451227,0.003493334,0.025971387
E01004960,0.069319127,0.050327634,0.089279849,0.000253604,0.068834513
E01004961,0.068097244,0.038743811,0.11532473,0.001091869,0.059160217
E01004962,0.054563529,0.015394662,0.093201396,0.001150435,0.05482903
E01004963,0.200586498,0.086927864,0.363301689,0.013719662,0.176058219
E01004964,0.039024773,0.004003717,0.071547376,0.000765699,0.040274
E01004965,0.204700401,0.041428163,0.307737732,0.013265412,0.234817854
E01004966,0.201750105,0.036129714,0.378247896,0.020023087,0.196311405
E01004967,0.126726505,0.041840924,0.32257517,0.017344816,0.071244963
E01004968,0.152066943,0.07846938,0.243273223,0.006618741,0.143262584
E01004969,0.328624242,0.086128314,0.637741373,0.068140573,0.29531364
E01004970,0.120132587,0.023927796,0.225284446,0.00876948,0.115659054
E01004971,0.204542386,0.161482448,0.26949774,0.002105851,0.193594679
E01004972,0.06315625,0.013860016,0.153019811,0.003822121,0.042872586
E01004973,0.051663701,0.033559361,0.07360389,0.000314368,0.049745777
E01004974,0.115709553,0.028234278,0.19835608,0.006183126,0.118123926
E01004975,0.112057832,0.063387124,0.193758278,0.003274151,0.095542963
E01004976,0.05053636,0.02597986,0.076342287,0.000455454,0.049911647
E01004977,0.193471829,0.079681554,0.27619976,0.008768325,0.209003
E01004978,0.121450031,0.031428819,0.321166598,0.018010311,0.066602353
E01004979,0.173315469,0.023503081,0.239434438,0.010433622,0.215162179
E01004980,0.068057872,0.047855212,0.089553455,0.000380795,0.067411411
E01004981,0.201224326,0.022670262,0.541741327,0.053808648,0.120242857
E01004982,0.189287071,0.047345093,0.403910491,0.023980569,0.152946349
