LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,MEDIAN_NEAR_DIST,VARIANCE_NEAR_DIST
E01005860,0.82858363,0.683277975,1.110090737,0.760482905,0.037681536
E01005861,0.998990022,0.610642327,1.192705086,1.096306338,0.069665664
E01005862,0.6234881,0.514528831,0.841139135,0.569142216,0.021944714
E01005863,0.362744229,0.255258376,0.524874345,0.335422098,0.013278394
E01005864,0.393162938,0.30495487,0.527732409,0.369982237,0.009057038
E01005865,0.767615736,0.583966,0.870612892,0.807942026,0.018440669
E01005866,0.192449981,0.079839594,0.321093744,0.184433293,0.016925373
E01005867,1.043341929,0.955991026,1.13828143,1.03954763,0.007631566
E01005868,0.91915549,0.767207324,1.02922044,0.940097098,0.017310975
E01005869,0.622093496,0.46152126,0.772047886,0.627402419,0.016749652
E01005870,1.569994608,1.400579962,1.771984269,1.5537071,0.025691994
E01005871,1.637467111,1.447979057,1.851524512,1.625182437,0.029884242
E01005872,0.861580842,0.592735372,1.021608619,0.915989688,0.037987365
E01005873,2.019707777,1.824039379,2.10423675,2.07527749,0.017209762
E01005874,0.810287284,0.620367114,0.981468447,0.819656787,0.035545821
E01005875,1.688100462,1.592947151,1.745465961,1.706994368,0.004891697
E01005876,1.239573425,1.189965623,1.340455626,1.213936226,0.004672083
E01005877,0.84843915,0.713036397,0.981987454,0.849366374,0.014761981
E01005878,0.544480427,0.321267602,0.807079302,0.524787403,0.041219766
E01005879,0.494180829,0.406214177,0.657861213,0.456323963,0.01337459
E01005880,1.708902199,1.28074574,2.154957007,1.699953024,0.129838186
E01005881,0.65931021,0.510755315,0.77842737,0.674029077,0.012560623
E01005882,0.432754078,0.092690862,0.883217646,0.377553901,0.112603253
E01005883,0.444199778,0.20820975,0.657914148,0.455337608,0.049215916
E01005884,0.616655932,0.19984593,1.114004515,0.576386641,0.142115399
E01005885,0.216828295,0.094392406,0.302401333,0.235259721,0.009739768
E01005886,0.186648103,0.145592137,0.271641903,0.164679186,0.003291923
E01005887,0.574918911,0.300711103,0.771102577,0.613930982,0.038969199
E01005888,0.347795471,0.238884265,0.414409157,0.36894423,0.006275759
E01005889,0.444856594,0.210486036,0.77882512,0.395057609,0.057141502
E01005890,0.912634145,0.720595183,1.002783142,0.963579127,0.017154783
E01005891,0.738135071,0.468540661,0.882085107,0.800957258,0.033786705
E01005892,0.42431576,0.119968821,0.833047473,0.372123373,0.118094966
E01005893,0.539457229,0.328676199,0.761467346,0.533842686,0.033721953
E01005894,0.626496768,0.479456862,0.72178524,0.652372484,0.013081178
E01005895,0.821335104,0.73454883,1.00698965,0.771900968,0.015777925
E01005896,0.248775284,0.190706082,0.325998656,0.239198198,0.003476623
E01005897,0.679656837,0.550238351,0.796605636,0.68589168,0.016228185
E01005898,1.361210262,1.115319314,1.641455774,1.344032979,0.060370803
E01005899,0.568255445,0.558278584,0.594115016,0.560314089,0.00029817
E01005900,0.268264479,0.084779922,0.442585784,0.272846104,0.021404877
E01005901,1.362578358,1.266573433,1.440474235,1.371632881,0.005150062
E01005902,0.894585954,0.838487104,0.98677141,0.876542651,0.004462345
E01005903,0.656488531,0.526485648,0.829995436,0.63473652,0.023076876
E01005904,0.38321533,0.187343003,0.593797357,0.375860479,0.028383284
E01005905,0.652439264,0.576801844,0.737473042,0.647741084,0.004364323
E01005906,1.265322253,0.974033541,1.551645407,1.267805033,0.09230121
E01005907,1.022239929,0.83094842,1.444906106,0.906552594,0.083291894
E01005908,0.956512152,0.069810227,2.3359515,0.710143441,0.939445409
E01005909,1.134692587,0.662264683,1.532532572,1.171986547,0.161157317
E01005910,1.073214172,0.918740343,1.19481274,1.089651802,0.013458879
E01005911,0.909227373,0.665306581,1.102515434,0.93454374,0.046386007
E01005912,1.060681565,0.623501939,1.466771072,1.076226624,0.127716214
E01005913,0.717363241,0.252175872,1.123649757,0.746813666,0.169993558
E01005914,1.151349402,0.892785764,1.266337094,1.223137376,0.030509629
E01005915,1.014076694,0.937394068,1.166667602,0.976122554,0.010910149
E01005916,0.895668437,0.713211649,1.111316689,0.879072705,0.0337938
E01005917,0.903773692,0.791304039,0.993668163,0.915061283,0.009771583
E01005918,1.08347857,1.019644326,1.10889012,1.102689917,0.001822113
E01005919,0.758149802,0.625584674,0.817905951,0.794554293,0.008142164
E01005920,0.620244275,0.543737087,0.703377474,0.616931269,0.004618615
E01005921,0.22521366,0.085875308,0.416350335,0.199314499,0.022300315
E01005922,0.595166439,0.308047229,1.051554189,0.510532168,0.105143537
E01005923,1.080137297,0.918167904,1.514678932,0.943851176,0.084105626
E01005924,0.583829415,0.394136825,0.690656294,0.62526227,0.019178083
E01005925,0.224199839,0.03646263,0.302675256,0.278830736,0.015813562
E01005926,2.216292316,1.580757942,3.0606975,2.111856911,0.419137217
